BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
244823	4193	1487	110358	107869	-	-	MDM2	CTBP1	ACTFS|HDMX|hdm2	BARS	Affinity Capture-Western	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	Repress p53 activity through the recruitment of a known transcriptional corepressor, hCtBP2. This interaction, and consequent repression of p53-dependent transcription, is relieved under hypoxia or hypoxia-mimicking conditions that are known to increase l	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245055	3065	1487	109315	107869	RP4-811H24.2	-	HDAC1	CTBP1	GON-10|HD1|RPD3|RPD3L1	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	Q13547	Q6IT96	NP_004955	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245056	8841	1487	114368	107869	-	-	HDAC3	CTBP1	HD3|RPD3|RPD3-2	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	O15379	-	NP_003874	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245057	9759	1487	115106	107869	-	-	HDAC4	CTBP1	AHO3|BDMR|HA6116|HD4|HDAC-4|HDAC-A|HDACA	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	P56524	Q86YH7	NP_001365345|NP_001365343|NP_006028|NP_001365344|NP_001365346	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245058	10014	1487	115331	107869	-	-	HDAC5	CTBP1	HD5|NY-CO-9	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245059	9734	1487	115083	107869	-	-	HDAC9	CTBP1	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	BARS	Reconstituted Complex	physical	Zhang CL (2001)	PUBMED:11022042	9606	9606	Low Throughput	-	-	Through a CtBP-binding motif (P-X-D-L-R) conserved in MITR and HDACs 4, 5, and 7. Mutation of this sequence in MITR abolishes interaction with CtBP and impairs, but does not eliminate, the ability of MITR to inhibit MEF2-dependent transcription	-	BIOGRID	Q9UKV0	B7Z3P7	NP_848512|NP_848510|NP_055522|NP_478056|NP_001191073|NP_001191076|NP_001191077|NP_001191074|NP_001191075	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245474	672	1487	107140	107869	-	-	BRCA1	CTBP1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BARS	Affinity Capture-Western	physical	Li S (1999)	PUBMED:10196224	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245475	3065	1487	109315	107869	RP4-811H24.2	-	HDAC1	CTBP1	GON-10|HD1|RPD3|RPD3L1	BARS	Affinity Capture-Western	physical	Melhuish TA (2000)	PUBMED:10995736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13547	Q6IT96	NP_004955	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245477	268903	1487	234576	107869	-	-	Nrip1	CTBP1	6030458L20Rik|8430438I05Rik|9630050P12|AA959574|AW456757|RIP140	BARS	Reconstituted Complex	physical	Vo N (2001)	PUBMED:11509661	10090	9606	Low Throughput	-	-	-	-	BIOGRID	Q8CBD1	-	NP_775616	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Mus musculus	Homo sapiens
245478	268903	1487	234576	107869	-	-	Nrip1	CTBP1	6030458L20Rik|8430438I05Rik|9630050P12|AA959574|AW456757|RIP140	BARS	Affinity Capture-Western	physical	Vo N (2001)	PUBMED:11509661	10090	9606	Low Throughput	-	-	-	-	BIOGRID	Q8CBD1	-	NP_775616	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Mus musculus	Homo sapiens
245479	7050	1487	112908	107869	-	-	TGIF1	CTBP1	HPE4|TGIF	BARS	Two-hybrid	physical	Melhuish TA (2000)	PUBMED:10995736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q15583	-	NP_001265613|NP_777480|NP_001265611|NP_003235|NP_001265615|NP_733796|NP_775299|NP_775302|NP_775303|NP_775300|NP_775301	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245662	1487	3066	107869	109316	-	-	CTBP1	HDAC2	BARS	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Koipally J (2000)	PUBMED:10766745	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q92769	-	NP_001518	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245769	1487	8850	107869	114375	-	-	CTBP1	KAT2B	BARS	CAF|P/CAF|PCAF	Biochemical Activity	physical	Fuks F (1998)	PUBMED:9824164	9606	9606	Low Throughput	-	No Modification	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q92831	-	NP_003875	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245847	1487	268903	107869	234576	-	-	CTBP1	Nrip1	BARS	6030458L20Rik|8430438I05Rik|9630050P12|AA959574|AW456757|RIP140	Two-hybrid	physical	Vo N (2001)	PUBMED:11509661	9606	10090	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q8CBD1	-	NP_775616	-	-	-	-	-	-	Homo sapiens	Mus musculus
245896	1487	6908	107869	112771	-	RP1-191N21.3	CTBP1	TBP	BARS	GTF2D|GTF2D1|HDL4|SCA17|TFIID	Reconstituted Complex	physical	Koipally J (2002)	PUBMED:11959865	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	P20226	Q32MN7	NP_001165556|NP_003185	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245916	1487	2959	107869	109214	-	RP11-82K18.1	CTBP1	GTF2B	BARS	TF2B|TFIIB	Reconstituted Complex	physical	Koipally J (2002)	PUBMED:11959865	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q00403	-	NP_001505	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252532	1487	27086	107869	117989	-	HSPC215	CTBP1	FOXP1	BARS	12CC4|QRF1|hFKH1B	Affinity Capture-Western	physical	Li S (2004)	PUBMED:14701752	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q9H334	Q548T7|Q8TEA2|A0A087X299|Q8N2P0|E9PFD3	NP_001231737|NP_001231743|NP_001231742|NP_001231741|NP_001231739|NP_001231745|NP_001231744|NP_116071|NP_001012523	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252533	1487	93986	107869	125073	-	-	CTBP1	FOXP2	BARS	CAGH44|SPCH1|TNRC10	Affinity Capture-Western	physical	Li S (2004)	PUBMED:14701752	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	O15409	B7ZLK5|X5D2H2|Q8N6B5|Q8N6B6	NP_683696|NP_683697|NP_001166238|NP_001166237|NP_683698|NP_055306	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252540	93986	1487	125073	107869	-	-	FOXP2	CTBP1	CAGH44|SPCH1|TNRC10	BARS	Two-hybrid	physical	Li S (2004)	PUBMED:14701752	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15409	B7ZLK5|X5D2H2|Q8N6B5|Q8N6B6	NP_683696|NP_683697|NP_001166238|NP_001166237|NP_683698|NP_055306	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256464	4297	1487	110443	107869	hCG_1732268	-	KMT2A	CTBP1	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	BARS	Reconstituted Complex	physical	Xia ZB (2003)	PUBMED:12829790	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q03164	-	NP_005924|NP_001184033	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256465	4297	1487	110443	107869	hCG_1732268	-	KMT2A	CTBP1	ALL-1|CXXC7|HRX|HTRX1|MLL|MLL/GAS7|MLL1|MLL1A|TET1-MLL|TRX1|WDSTS	BARS	Affinity Capture-Western	physical	Xia ZB (2003)	PUBMED:12829790	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q03164	-	NP_005924|NP_001184033	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256467	8535	1487	114105	107869	-	-	CBX4	CTBP1	NBP16|PC2	BARS	Reconstituted Complex	physical	Xia ZB (2003)	PUBMED:12829790	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00257	-	NP_003646	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259368	8535	1487	114105	107869	-	-	CBX4	CTBP1	NBP16|PC2	BARS	Biochemical Activity	physical	Kagey MH (2003)	PUBMED:12679040	9606	9606	Low Throughput	-	Sumoylation	-	-	BIOGRID	O00257	-	NP_003646	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261963	1487	3065	107869	109315	-	RP4-811H24.2	CTBP1	HDAC1	BARS	GON-10|HD1|RPD3|RPD3L1	Reconstituted Complex	physical	Sundqvist A (1998)	PUBMED:9650586	9606	9606	Low Throughput	-	-	Both proteins purified.	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263349	1487	2122	107869	108423	-	hCG_1640438	CTBP1	MECOM	BARS	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	Affinity Capture-Western	physical	Chakraborty S (2001)	PUBMED:11568182	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263354	2122	1487	108423	107869	hCG_1640438	-	MECOM	CTBP1	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	BARS	Phenotypic Enhancement	genetic	Chakraborty S (2001)	PUBMED:11568182	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263355	2122	1487	108423	107869	hCG_1640438	-	MECOM	CTBP1	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3	BARS	Phenotypic Suppression	genetic	Chakraborty S (2001)	PUBMED:11568182	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13465|Q03112	E7EQ57|C7FEN9	NP_001098548|NP_001192123|NP_004982|NP_001098547|NP_001157472|NP_001157471|NP_005232	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263761	1487	8535	107869	114105	-	-	CTBP1	CBX4	BARS	NBP16|PC2	Affinity Capture-Western	physical	Dahiya A (2001)	PUBMED:11583618	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	O00257	-	NP_003646	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275974	64375	1487	122146	107869	-	-	IKZF4	CTBP1	EOS|ZNFN1A4	BARS	Two-hybrid	physical	Perdomo J (2002)	PUBMED:12444977	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H2S9	-	NP_071910	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275975	64375	1487	122146	107869	-	-	IKZF4	CTBP1	EOS|ZNFN1A4	BARS	Affinity Capture-Western	physical	Perdomo J (2002)	PUBMED:12444977	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H2S9	-	NP_071910	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278296	8535	1487	114105	107869	-	-	CBX4	CTBP1	NBP16|PC2	BARS	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00257	-	NP_003646	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278300	398110	1487	99445	107869	-	-	cbx2	CTBP1	cdca6|m33|pc1	BARS	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	8355	9606	Low Throughput	-	-	-	-	BIOGRID	-	Q9YHC4	NP_001081900	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Xenopus laevis	Homo sapiens
278372	1488	1487	107870	107869	RP11-59C5.2	-	CTBP2	CTBP1	-	BARS	Two-hybrid	physical	Sewalt RG (1999)	PUBMED:9858600	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56545	-	NP_001277143|NP_001307943|NP_073713|NP_001307941|NP_001277144|NP_001350437|NP_001077383|NP_001320|NP_001307942	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
